"GBAN","cluster","Orc_genre","Orc_species","Fun_order","Fun_family","Fun_genus","Fun_species","lat","lon","geneRegion","DOI","Title","Author","Origin","pubmed","number","Notes","otu"
"AY833056","Cluster 34","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the1"
"AY833057","Cluster 73","Cephalanthera","Cephalanthera damasonium","Thelephorales","thelephoraceae","","",48.35,2.35,"ITS4tul,ITS3S","doi: 10.1111/j.1469-8137.2005.01364.x","Mixotrophy in orchids: insights from a comparative study of green individuals and nonphotosynthetic individuals of Cephalanthera damasonium.","Julou T Burghardt B Gebauer G Berveiller D Damesin C Selosse MA ","",15819926,NA,"Albino orchid","the5"
"DQ061867","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.608509,3.871755,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061868","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.608509,3.871755,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061869","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.766933,3.546611,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061870","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.766933,3.546611,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061871","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.766933,3.546611,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061872","Cluster 8","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.51425,6.818035,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus3"
"DQ061873","Cluster 13","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.51425,6.818035,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus4"
"DQ061874","Cluster 8","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.51425,6.818035,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus3"
"DQ061875","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.651254,5.649002,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061876","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",48.434033,2.273866,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,2,"","rus1"
"DQ061877","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",48.434033,2.273866,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061878","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",47.165918,0.23673,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,3,"","rus1"
"DQ061879","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",48.910867,2.924153,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061880","Cluster 6","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",42.118106,9.05762,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus5"
"DQ061881","Cluster 16","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",42.118106,9.05762,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus6"
"DQ061882","Cluster 4","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",42.118106,9.05762,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus7"
"DQ061884","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.608509,3.871755,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061885","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",44.474503,4.940662,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061886","Cluster 14","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.681232,14.765187,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,5,"","rus8"
"DQ061887","Cluster 18","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.851445,14.273894,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,4,"","rus9"
"DQ061889","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.681232,14.765187,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,4,"","rus1"
"DQ061891","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.681232,14.765187,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,4,"","rus1"
"DQ061892","Cluster 7","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.851445,14.273894,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus10"
"DQ061893","Cluster 7","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.851445,14.273894,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,2,"","rus10"
"DQ061894","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",41.125312,14.065684,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061895","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.327726,11.324213,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061896","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.542017,10.317728,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061897","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.327726,11.324213,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061898","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.327726,11.324213,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061899","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.327726,11.324213,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061900","Cluster 16","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",45.068113,7.687244,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus6"
"DQ061901","Cluster 16","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",45.068113,7.687244,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,2,"","rus6"
"DQ061902","Cluster 17","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.851445,14.273894,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus11"
"DQ061903","Cluster 16","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",39.306455,16.255141,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus6"
"DQ061904","Cluster 10","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",39.243732,9.120478,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus12"
"DQ061905","Cluster 18","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",40.851445,14.273894,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,2,"","rus9"
"DQ061906","Cluster 11","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.327726,11.324213,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus1"
"DQ061907","Cluster 10","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",42.770775,11.11358,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus12"
"DQ061908","Cluster 10","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",42.770775,11.11358,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus12"
"DQ061909","Cluster 17","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",45.068113,7.687244,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus11"
"DQ061910","Cluster 17","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",45.068113,7.687244,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus11"
"DQ061911","Cluster 32","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",41.461972,15.547688,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus13"
"DQ061912","Cluster 26","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",39.243732,9.120478,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus14"
"DQ061913","Cluster 5","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.766933,3.546611,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus2"
"DQ061914","Cluster 12","Limodorum","Limodorum abortivum","Russulales","russulaceae","Russula","",43.608509,3.871755,"ITS1F,ITS4","doi: 10.1111/j.1365-294X.2005.02770.x","Inefficient photosynthesis in the Mediterranean orchid Limodorum abortivum is mirrored by specific association to ectomycorrhizal Russulaceae","Girlanda M Selosse MA Cafasso D Brilli F Delfine S Fabbian R Ghignone S Pinelli P Segreto R Loreto F Cozzolino S Perotto S","environmentalSample",16448415,NA,"","rus15"
